phase,scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
before,membership-import,1000000,421,1000000,0,430831319,2321094.024,3001958,1536729056,14408,42296,55120,9,9,14315520,14315520,1000000,421,0
after,membership-import,1000000,421,1000000,0,170531967,5864003.199,2311,718184,13624,39244,51308,9,9,14315520,14315520,1000000,421,0
before,nested-overwrite,1000000,0,1000000,0,2887551733,346314.142,41453,53189592,6272,11916,64488,6,6,56410112,56414208,1999999,0,0
after,nested-overwrite,1000000,0,1000000,0,1932920413,517351.875,41454,53189928,8192,13604,66852,6,6,56410112,56410112,1999999,0,0
before,update-ipsets-workflow,1000000,7,13600000,3201805,5780686179,2352661.878,21236580,752141344,14224,14044,116956,6,6,15618048,15618048,1100000,9,0
after,update-ipsets-workflow,1000000,7,13600000,3201805,5038428586,2699254.295,21236597,752142224,17296,17040,119500,6,6,15618048,15618048,1100000,9,0
before,live-direct-random-lookup,1000000,0,1000000,0,596457652,1676564.961,0,0,15776,28868,31116,9,9,16871424,16871424,1000000,0,0
after,live-direct-random-lookup,1000000,0,1000000,0,492092478,2032138.358,1,16,17260,30408,31956,9,9,16871424,16871424,1000000,0,0
after,immutable-direct-random-lookup,1000000,0,1000000,0,420245656,2379560.587,1,16,18904,29492,44944,7,7,14176256,14176256,1000000,0,0
before,live-validation,1000000,0,4113,0,24611648,167115.993,72,25688,12944,9692,27720,6,6,16871424,16871424,1000000,0,0
after,live-validation,1000000,0,4113,0,25593071,160707.560,71,25704,12992,10824,27912,6,6,16871424,16871424,1000000,0,0
post-review,update-ipsets-workflow,1000000,7,13600000,3201805,4904367499,2773038.522,10730986,369045392,15592,15772,118704,6,6,15618048,15618048,1100000,9,0
post-review,update-ipsets-workflow,1000000,7,13600000,3201805,4939680553,2753214.475,10730970,369039144,15132,14964,118208,6,6,15618048,15618048,1100000,9,0
post-review,update-ipsets-workflow,1000000,7,13600000,3201805,4899895700,2775569.284,10730976,369044752,14944,15036,118000,6,6,15618048,15618048,1100000,9,0
post-review,update-ipsets-workflow,1000000,7,13600000,3201805,4885221606,2783906.463,10730970,369044000,14728,13616,116556,6,6,15618048,15618048,1100000,9,0
