# benchmark=update_ipsets
# fixture=iprange-v4-update-ipsets-v1
# baseline=go-v4-local-20260827
# os=linux
# arch=amd64
# profile=optimized
# go=go1.26.4
# cpu=12th Gen Intel(R) Core(TM) i9-12900K
# warmups=1
# samples=3
scenario,size,aux,samples,min_ns,p50_ns,p90_ns,max_ns,median_units_per_second,alloc_calls,alloc_bytes,max_rss_peak_kib,max_fds_after,file_logical_bytes,range_records,feeds,accepted_median_ns,ci_limit_ns,ratio,status
direct-replace,1000000,0,3,1531126775,1535086010,1565602809,1565602809,651429.297,12547,16125152,25928,6,16871424,1000000,0,1521868753,3143737506,1.009,within-limit
last-seen-refresh,1000000,0,3,2132152477,2148899843,2216378743,2216378743,465354.401,23019,22005448,47172,6,37199872,1000000,0,2119301945,4338603890,1.014,within-limit
feed-first-ascending,1000000,0,3,131830239,139275017,140917183,140917183,7180038.614,227,40048,20536,6,14217216,1000000,1,131003978,362007956,1.063,within-limit
feed-first-random,1000000,0,3,1562231525,1567137347,1573973184,1573973184,638106.163,12636,16141288,26564,6,16896000,1000000,1,1554670893,3209341786,1.008,within-limit
live-direct-lookup,100000,0,3,252143616,255001060,260201518,260201518,3921552.326,0,0,10744,9,2134016,100000,0,251097897,602195794,1.016,within-limit
live-direct-random-lookup,100000,0,3,298972000,300610450,308326891,308326891,3326564.329,0,0,10980,9,2134016,100000,0,307209276,714418552,0.979,within-limit
live-direct-scan,100000,0,3,24010992,25597911,28027968,28027968,39065687.821,30,7360,10772,9,2134016,100000,0,23304938,146609876,1.098,within-limit
live-membership-lookup,100000,421,3,374210601,376587566,379649931,379649931,2655424.901,0,0,13960,9,3035136,100000,421,376411517,852823034,1.000,within-limit
live-membership-random-lookup,100000,421,3,431731813,436787821,438010912,438010912,2289441.124,0,0,13392,9,3035136,100000,421,431097751,962195502,1.013,within-limit
structured-build-random,1000000,421,3,4635893020,4663418850,4689232630,4689232630,214434.953,150855,34974096,54884,6,30765056,1000000,421,4577556365,9255112730,1.019,within-limit
live-structured-scalar-random-lookup,100000,421,3,5348964879,5364599102,5394977112,5394977112,1864072.191,1,16,28572,9,13987840,100000,421,5161288226,10422576452,1.039,within-limit
live-structured-threat-random-lookup,100000,421,3,6010529923,6022788189,6041685638,6041685638,1660360.565,1,16,27300,9,13987840,100000,421,5819056342,11738112684,1.035,within-limit
live-structured-scalar-scan,100000,421,3,157899972,158630568,159160573,159160573,6303955.238,41,7776,32584,9,13987840,100000,421,156965620,413931240,1.011,within-limit
live-feed-scan,100000,421,3,26088035,28473890,28532978,28532978,35119894.050,40,7840,16880,9,3035136,100000,421,25668738,151337476,1.109,within-limit
membership-cardinalities,1000000,64,3,48368876,52835149,53109199,53109199,18926794.358,76,319704,42616,9,28487680,1000000,64,48844469,197688938,1.082,within-limit
live-validation,1000000,0,3,23711470,24652998,28552878,28552878,166835.693,73,25880,30812,6,16871424,1000000,0,25760986,151521972,0.957,within-limit
live-membership-validation,1000000,421,3,30526218,31848570,32066996,32066996,224782.463,71,25832,42164,6,29425664,1000000,421,30656139,161312278,1.039,within-limit
update-ipsets-workflow,1000000,7,3,5856041020,5879350369,5900787242,5900787242,2313180.734,21236592,752147240,119048,6,15618048,1100000,9,5783351134,12066702268,1.017,within-limit
