scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
membership-import,1000000,421,1000000,0,70201361,14244738.076,2308,712168,16628,44760,56972,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,72400048,13812145.539,2309,712200,14584,42308,55492,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,70489665,14186476.840,2308,712136,16808,44256,56300,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,70819603,14120384.154,2309,712216,14388,42052,55208,9,9,14315520,14315520,1000000,421,0
membership-import,1000000,421,1000000,0,73853994,13540229.117,2309,712184,13784,41580,54136,9,9,14315520,14315520,1000000,421,0
nested-overwrite,1000000,0,1000000,0,1324398823,755059.566,27690,16144248,8224,13596,67256,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1305099726,766224.971,27690,16149280,8228,16312,70312,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1306179273,765591.692,27686,16143992,8228,16060,70424,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1306278174,765533.728,27691,16149392,6176,14232,68604,6,6,56410112,56410112,1999999,0,0
nested-overwrite,1000000,0,1000000,0,1305912544,765748.062,27685,16143976,8224,15932,70364,6,6,56410112,56414208,1999999,0,0
update-ipsets-workflow,1000000,7,13600000,3201805,3443052324,3949983.538,27408,9795288,14264,15828,117768,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3491327917,3895365.982,27411,9795464,15180,14060,116956,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3496448128,3889661.594,27410,9795416,16548,16184,118368,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3479169182,3908979.210,27411,9795432,14248,13840,116544,6,6,15618048,15618048,1100000,9,0
update-ipsets-workflow,1000000,7,13600000,3201805,3465387555,3924524.973,27410,9795336,17072,15352,118092,6,6,15618048,15618048,1100000,9,0
live-direct-random-lookup,1000000,0,1000000,0,411271773,2431482.211,1,16,16572,30692,32236,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,412739856,2422833.621,1,16,20620,33908,35976,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,403942711,2475598.576,1,16,20660,34104,36484,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,409252367,2443480.064,1,16,16544,31896,32420,9,9,16871424,16871424,1000000,0,0
live-direct-random-lookup,1000000,0,1000000,0,424584044,2355246.303,1,16,18524,33428,33428,9,9,16871424,16871424,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,368228108,2715707.949,1,16,18716,29492,43676,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,369069976,2709513.277,1,16,20920,31304,45980,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,368904747,2710726.842,1,16,20868,31120,45936,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,364043342,2746925.667,1,16,20744,31708,46108,7,7,14176256,14176256,1000000,0,0
immutable-direct-random-lookup,1000000,0,1000000,0,372632903,2683606.284,1,16,20856,31512,45756,7,7,14176256,14176256,1000000,0,0
live-validation,1000000,0,4113,0,26503029,155189.809,72,25720,16164,16412,31760,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,28512736,144251.327,72,25864,14148,13744,29432,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,27505105,149535.877,73,25880,14140,13564,29696,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,25355964,162210.358,73,25736,16004,15052,31864,6,6,16871424,16871424,1000000,0,0
live-validation,1000000,0,4113,0,23404960,175731.982,73,25880,13932,13268,29240,6,6,16871424,16871424,1000000,0,0
