scenario,size,aux,work_units,emitted_units,elapsed_ns,units_per_second,alloc_calls,alloc_bytes,rss_before_kib,rss_after_kib,rss_peak_kib,fds_before,fds_after,file_logical_bytes,file_physical_bytes,range_records,feeds,private_artifacts
direct-replace,1000,0,1000,0,2811251,355713.524,156,299088,8260,11380,11380,6,6,45056,45056,1000,0,0
direct-replace,4000,0,4000,0,7974985,501568.342,181,312960,8248,9308,9312,6,6,94208,94208,4000,0,0
direct-replace-v6,4000,0,4000,0,10358192,386167.779,276,135392,8248,11360,11360,6,6,290816,290816,4000,0,0
direct-commit,4000,0,4000,0,3532015,1132498.022,26,2960,11164,11496,11496,9,9,94208,94208,4000,0,0
nested-overwrite,1000,0,1000,0,5399155,185214.168,171,296512,8312,11612,11612,6,6,81920,81920,1999,0,0
nested-overwrite,4000,0,4000,0,9342984,428128.743,255,343840,7000,8476,8488,6,6,249856,249856,7999,0,0
first-seen-refresh,1000,0,1000,0,3456228,289332.764,184,313912,8968,11452,11456,6,6,77824,77824,1000,0,0
first-seen-refresh,4000,0,4000,0,9604647,416465.072,199,316400,5792,6952,6964,6,6,163840,163840,4000,0,0
last-seen-refresh,1000,0,1000,0,3788005,263991.204,185,313944,8968,9416,9416,6,6,77824,77824,1000,0,0
last-seen-refresh,4000,0,4000,0,9028604,443036.376,199,316384,9040,9500,9500,6,6,163840,163840,4000,0,0
feed-replace,1000,8,1000,0,4066919,245886.382,186,313552,9284,9740,9744,6,6,106496,106496,1090,8,0
feed-replace,1000,64,1000,0,4327359,231087.830,184,313456,6304,7404,7420,6,6,106496,106496,1090,64,0
membership-import,1000,64,1000,0,3114978,321029.555,484,127344,9392,12164,12164,9,9,110592,110592,1000,64,0
live-membership-lookup,4000,64,1000000,0,307288157,3254274.456,0,0,9592,10144,10144,9,9,163840,163840,4000,64,0
immutable-membership-lookup,4000,64,1000000,0,293305248,3409417.345,0,0,9540,12068,12068,7,7,94208,94208,4000,64,0
live-membership-random-lookup,4000,64,1000000,0,318828508,3136482.388,0,0,9472,9996,9996,9,9,163840,163840,4000,64,0
immutable-membership-random-lookup,4000,64,1000000,0,329770833,3032408.873,0,0,9580,12104,12104,7,7,94208,94208,4000,64,0
live-feed-scan,4000,64,1000000,0,25034610,39944700.557,1000,196000,9472,12056,12056,9,9,163840,163840,4000,64,0
immutable-feed-scan,4000,64,1000000,0,29467592,33935585.914,1250,200000,9476,12088,12088,7,7,94208,94208,4000,64,0
live-direct-lookup,4000,0,1000000,0,178754237,5594272.991,0,0,7192,8036,8036,9,9,94208,94208,4000,0,0
immutable-direct-lookup,4000,0,1000000,0,178115381,5614338.270,0,0,6008,6844,6856,7,7,69632,69632,4000,0,0
live-direct-random-lookup,4000,0,1000000,0,213115412,4692293.207,0,0,5888,6708,6720,9,9,94208,94208,4000,0,0
immutable-direct-random-lookup,4000,0,1000000,0,198020465,5049983.091,0,0,6084,6908,6920,7,7,69632,69632,4000,0,0
structured-build-random,4000,64,4000,0,18490169,216331.176,8514,1178112,4976,7788,7804,6,6,806912,806912,4000,64,0
structured-intern,4000,64,4000,0,9164465,436468.468,4178,289776,5976,8108,8124,9,9,8192,8192,0,0,0
structured-assign-random,4000,64,4000,0,5836094,685389.920,41,20976,7224,8288,8296,9,9,806912,806912,4000,64,0
structured-commit,4000,64,4000,0,4095499,976681.962,4053,389920,7520,7856,8020,9,9,839680,839680,4000,64,0
live-structured-scalar-random-lookup,4000,64,10000000,0,3226717227,3099124.992,0,0,7196,8796,8808,9,9,839680,839680,4000,64,0
immutable-structured-scalar-random-lookup,4000,64,10000000,0,3302621561,3027897.631,0,0,8744,12012,12024,7,7,671744,671744,4000,64,0
live-structured-threat-random-lookup,4000,64,10000000,0,3813891646,2621993.735,0,0,9604,11056,11056,9,9,839680,839680,4000,64,0
immutable-structured-threat-random-lookup,4000,64,10000000,0,3834028436,2608222.700,0,0,8748,10028,10040,7,7,671744,671744,4000,64,0
live-structured-scalar-scan,4000,64,1000000,0,137668271,7263837.867,1000,194000,7088,8868,8880,9,9,839680,839680,4000,64,0
immutable-structured-scalar-scan,4000,64,1000000,0,141399158,7072177.898,1000,194000,7936,9492,9504,7,7,671744,671744,4000,64,0
immutable-separate-enrichment-random-lookup,4000,64,10000000,0,6583956062,1518843.672,0,0,9604,12156,12156,9,9,204800,204800,10000,64,0
live-direct-scan,4000,0,1000000,0,23078184,43330965.729,750,184000,5872,6880,6888,9,9,94208,94208,4000,0,0
immutable-direct-scan,4000,0,1000000,0,22604844,44238305.737,750,184000,7376,8344,8356,7,7,69632,69632,4000,0,0
live-open,4000,1,100,0,6957553,14372.869,8000,655200,10956,11532,11536,6,6,94208,94208,4000,0,0
live-open,4000,256,100,0,18759707,5330.574,8000,655200,7280,8708,8720,6,6,94208,94208,4000,0,0
snapshot,4000,0,4000,0,6032862,663035.223,226,19952,5656,8844,8856,6,6,69632,69632,4000,0,0
live-validation,4000,0,17,0,5791661,2935.255,72,25944,8892,9432,9732,6,6,94208,94208,4000,0,0
live-membership-validation,4000,64,60,0,4301316,13949.219,72,25848,9528,10232,10280,6,6,270336,270336,4000,64,0
immutable-validation,4000,0,15,0,4477454,3350.118,72,25848,6000,6896,6940,6,6,69632,69632,4000,0,0
immutable-feed-random,1000,0,1000,1000,15131964,66085.275,1495,367120,4804,7116,7132,6,6,53248,53248,1000,1,0
history-project,1000,7,1000,876,2484661,402469.391,163,25888,5860,6976,6988,9,9,69632,69632,876,7,0
membership-matching-feeds,1000,64,1000000,4000000,839151479,1191679.959,5000016,80005864,6732,11676,11676,9,9,131072,131072,1000,64,0
membership-cardinalities,1000,64,1000,64,211322,4732114.971,76,319704,6828,7848,7848,9,9,131072,131072,1000,64,0
membership-selected-pair,1000,2,1000,3,190894,5238509.330,20,317064,6616,7400,7404,9,9,77824,77824,1000,2,0
membership-all-pairs,1000,8,1000,36,243173,4112298.652,79,320840,6388,7492,7504,9,9,77824,77824,1000,8,0
direct-provider-join,1000,1,1000,251,467710,2138077.014,5531,564904,6528,7852,7864,12,12,77824,77824,1000,1,0
membership-provider-join,1000,1,1000,3,353673,2827470.573,6035,855944,6524,7424,7424,12,12,77824,77824,1000,1,0
algebra-count,1000,2,2000,1,554536,3606618.867,6031,817056,6664,7828,7840,12,12,77824,77824,1000,2,0
algebra-compare,1000,2,2000,1,760918,2628404.112,6040,817216,6596,8088,8100,12,12,77824,77824,1000,2,0
algebra-publish-preserve,1000,2,2000,1000,6597725,303134.793,8176,1229472,6544,7728,7732,12,12,53248,53248,1000,2,0
algebra-publish-flat,1000,2,2000,1000,6437603,310674.641,6174,1173440,6708,8352,8356,12,12,53248,53248,1000,1,0
update-ipsets-workflow,1000,7,13600,5005,37546978,362212.906,26745,3869496,6904,9852,9860,6,6,53248,53248,1100,9,0
